Date of initial application by author,Submitted by,University department,PubMed Central (PMC) ID,PubMed ID,DOI,Affiliated author,Publisher,Journal,ISSN,Type of publication,Article title,Date of publication,Fund that APC is paid from (1),Fund that APC is paid from (2),Fund that APC is paid from (3),Funder of research (1),Funder of research (2),Funder of research (3),Grant ID (1),Grant ID (2),Grant ID (3),Date of APC payment,APC paid (actual currency) including VAT if charged,APC paid (actual currency) excluding VAT,VAT (actual currency),Currency of APC,APC paid (£) including VAT if charged,APC paid (£) excluding VAT,VAT (£),Additional publication costs (£),"Discounts, memberships & pre-payment agreements",Amount of APC charged to COAF grant (include VAT if charged) in £,Amount of APC charged to RCUK OA fund (include VAT if charged) in £,Licence,Correct license applied,Problem-free open access publication,Notes
9/11/2015,Philip Withers,Faculty of Engineering and Physical Sciences,,26683814,10.1016/j.ultramic.2015.11.001,Philip Withers,Elsevier,Ultramicroscopy,0304-3991,Journal Article/Review (Hybrid journal),Large Volume Serial Sectioning Tomography by Xe Plasma FIB Dual Beam Microscopy,10/11/2015,RCUK,,,EPSRC,,,EP/M010619/1,,,15/12/2015," € 2,356.31 ",,,EUR,1688.38,,,,No,,1688.38,CC-BY,Yes,Yes,
04/01/2016,"Binks, David",School of Physics and Astronomy,,,10.1016/j.solmat.2015.12.015,"Binks, David",Elsevier,Solar Energy Materials & Solar Cells,0927-0248,Journal Article/Review (Hybrid journal),Energy Structure of CdSe/CdTe Type II Colloidal Quantum Dots - Do Phonon Bottlenecks Remain for Thick Shells?,13/01/2016,RCUK,,,EPSRC,,,EP/K008544/1,,,16/02/2016," € 3,855.77 ",,,EUR,2826.19,,,,No,,2826.19,CC-BY,Yes,Yes,
23/11/2015,"Fenkes, Miriam",Faculty of Life Sciences,PMC4751979,,10.1016/j.cbpa.2015.11.012,"Fenkes, Miriam",Elsevier,Comparative Biochemistry and Physiology. Part A: Molecular & Integrative Physiology,1095-6433,Journal Article/Review (Hybrid journal),"The potential impacts of migratory difficulty, including warmer waters and altered flow conditions, on the reproductive success of salmonid fishes",18/11/2015,RCUK,,,BBSRC,,,,,,05/01/2016," € 2,677.62 ",,,EUR,2311.93,,,,No,,2311.93,CC-BY,Yes,Yes,
16/12/2015,"Tampubolon, Gindo",School of Social Sciences,PMC4879642,,10.1016/j.dadm.2015.11.009,"Tampubolon, Gindo",Elsevier,Alzheimer's & Dementia,1552-5260,Journal Article/Review (Hybrid journal),Repeated systemic inflammation was associated with cognitive deficits in older Britons,28/12/2015,RCUK,,,MRC,,,G1001375/1,,,11/01/2016," € 1,785.08 ",,,EUR,1507.01,,,,No,,1507.01,CC-BY,Yes,Yes,
08/01/2016,"Parnell, William",Faculty of Engineering and Physical Sciences,,,10.1016/j.ijengsci.2014.11.011,"Parnell, William",Elsevier,International Journal of Engineering Science,0020-7225,Journal Article/Review (Hybrid journal),Simple shear of a compressible quasilinear viscoelastic material,23/01/2015,RCUK,,,EPSRC,,,EP/H050779/1,,,18/01/2016," € 2,394.06 ",,,USD,1871.68,,,,No,,1871.68,CC-BY,Yes,Yes,
08/01/2016,"Ellingford, Jamie",Faculty of Medical and Human Sciences,PMC4845717,,10.1016/j.ophtha.2016.01.009,"Ellingford, Jamie",Elsevier,Ophthalmology Ophthalmology,0161-6420,Journal Article/Review (Hybrid journal),Whole genome sequencing increases molecular diagnostic yield compared to current diagnostic testing for inherited retinal disease,09/02/2016,RCUK,,,BBSRC,,,BB/J014478/1,,,16/02/2016," € 2,677.62 ",,,EUR,2353.24,,,,No,,2353.24,CC-BY,Yes,Yes,
25/11/2015,Wulung Hanandita,Faculty of Humanities,,,10.1016/j.ssmph.2015.10.002,Wulung Hanandita,Elsevier,Population Health,2352-8273,Journal Article/Review (Hybrid journal),The double burden of malnutrition in Indonesia: Social determinants and geographical variations,18/11/2015,RCUK,,,ESRC,,,ES/J500094/1,,,15/12/2015," € 1,237.06 ",,,EUR,886.4,,,,No,,886.4,CC-BY,Yes,Yes,
10/11/2015,Michael Preuss,Faculty of Engineering and Physical Sciences,,,10.1016/j.matdes.2015.09.152,Michael Preuss,Elsevier,Materials & Design,0264-1275,Journal Article/Review (Hybrid journal),Determination of the high temperature elastic properties and diffraction elastic constants of Ni-base superalloys,30/9/2015,RCUK,,,EPSRC,,,EP/M005607/1,,,23/11/2015," € 2,677.62 ",,,EUR,1984.01,,,,No,,1984.01,CC-BY,Yes,Yes,
01/08/2015,"Takano, Eriko",Faculty of Life Sciences,,26164547,10.1016/j.cbpa.2015.06.024,"Takano, Eriko",Elsevier,Current Opinion in Chemical Biology,1367-5931,Journal Article/Review (Hybrid journal),Butyrolactone signalling circuits for synthetic biology,09/07/2015,RCUK,,,BBSRC,,,BB/M017702/1,,,18/08/2015," € 4,034.78 ",,,EUR,2859.32,,,,No,,2859.32,CC-BY,Yes,Yes,
17/08/2015,"Evans, James",Humanities,,,10.1016/j.cosust.2015.06.005,"Evans, James",Elsevier,Current Opinion in Environmental Sustainability,1877-3435,Journal Article/Review (Hybrid journal),Living labs and co-production: university campuses as platforms for sustainability science,17/7/2015,RCUK,,,EPSRC,,,,,,21/8/2015," € 4,034.78 ",,,EUR,2859.32,,,,No,,2859.32,CC-BY,Yes,Yes,
